# Algorithm: ACO, Scenario: 1, Hosts: 10, VMs: 40, Containers: 400, Run: 1, Solutions: 19
solution_id,makespan,cost,energy,migration
0,346.32225,5688.630723513345,423106.8951446806,0.0
1,366.01125,5314.414306154075,418402.3140968106,0.0
2,359.9135,5627.365028315608,422301.9345868164,0.0
3,389.52048542810206,4768.262199588928,451289.5311890013,0.0
4,338.98775,5769.145568162178,412803.0893307977,0.0
5,291.9825,4854.994477783041,333023.62814882613,55.23828125
6,344.95725,5418.493391633585,413445.6006067951,47.899609375
7,280.42625,4424.703224875773,342765.28700037533,51.51884765625
8,252.85875,3881.945691423116,294962.5830679551,57.46005859375
9,287.74225,4909.420516565846,325724.41955267626,52.74794921875
10,286.96340694546933,5391.462452925406,350437.6896156883,50.61171875
11,364.01075,5047.0509715352455,429935.42144443,47.5791015625
12,286.5995,4310.0625789840315,335177.26576855476,54.0638671875
13,279.1844758625874,4919.314896618973,326527.1620431164,54.90068359375
14,327.0665,5168.136546266076,395715.2525143559,48.10126953125
15,298.46425,4173.036584727938,348108.57746132003,48.5412109375
16,285.29325,4419.317974578228,346303.8000608203,50.83427734375
17,279.4845,4860.068239015245,333009.5778411369,55.2298828125
18,347.0425,5272.330036889959,406677.5181308478,47.52744140625
