# Algorithm: MO-NSO, Scenario: 1, Hosts: 10, VMs: 40, Containers: 200, Run: 1, Solutions: 49
solution_id,makespan,cost,energy,migration
0,204.413,1632.71059811682,254463.884764781,0.0
1,196.29025,1558.9206133196453,231519.20461213717,0.0
2,210.24425,1220.527050979638,249280.15485845803,0.0
3,161.092,1037.696174847903,191347.0174458138,37.534765625
4,176.44375,1288.9242975589714,218660.33542292033,35.08076171875
5,172.4467530290035,1420.0756429027883,210729.90919395088,39.88046875
6,166.0065,1145.4871846356436,194705.35081005015,33.5177734375
7,166.2355,1180.844776298475,202256.7447133787,28.48876953125
8,182.12125,1083.7335586352706,219939.75547940697,36.93349609375
9,177.94696351374958,966.8273973530237,218173.86179083626,38.2185546875
10,184.4475,1170.7690883485373,216858.48892896838,33.3990234375
11,163.72375,1161.3127828611252,193152.94308674187,38.79912109375
12,137.2165,1108.518038039074,165753.5972671305,28.66474609375
13,188.669,1720.4421767876468,227317.89930165952,36.195703125
14,184.6415,1404.0621078242489,222823.76444428382,31.78828125
15,167.46375,1238.4750055996744,196538.50302201617,36.67724609375
16,167.9575,1267.076519719022,207776.4047646899,36.43193359375
17,217.57025,1247.4159602278553,269150.6088899227,36.92294921875
18,158.84725,1178.6289540480143,189237.9504640023,37.35546875
19,218.139,1243.9243699229958,271723.4019319869,30.29541015625
20,175.21775,1067.3059830702293,208927.96067033638,38.0986328125
21,233.26425,1605.533716057103,283360.4670947684,29.9833984375
22,169.06575,1250.7362692526085,208330.3188001564,37.51982421875
23,189.92275,1262.2643141664898,225268.27708143872,35.37744140625
24,200.276,1199.9777563151933,237625.7133111993,34.81533203125
25,175.79625,1325.2398566753063,216894.6595095004,37.59619140625
26,225.092393755549,1326.394823255459,275554.1579423003,34.5474609375
27,195.26175,1215.6991950311303,239184.16123265465,35.25888671875
28,176.937,1212.0433539900246,201200.76939584804,28.71845703125
29,249.53057416512937,1708.4600548990297,318367.5441627547,29.655078125
30,200.8425,1441.4021742845343,235156.60078089894,37.16953125
31,171.08575,1370.494166780026,207425.64795456044,35.9849609375
32,202.40525,1353.7693195614283,258248.6147167252,30.20947265625
33,213.90875,1330.1163700848265,255694.56925165196,33.3349609375
34,188.9390243913863,1426.6386645079995,228817.06423782118,31.51591796875
35,222.50575,1313.8553517351697,260385.2736339284,35.25009765625
36,192.57575,1373.591345191938,237146.25915634178,37.47587890625
37,188.68075,1366.4453322902657,232221.53305912888,34.30009765625
38,187.306,1589.6081036026044,219273.3039642977,41.28212890625
39,172.48975,1186.3513959874215,214245.42892655547,29.51513671875
40,183.3765,1377.1183946132453,213330.76700904148,35.9626953125
41,165.82275,1277.3286679459857,200121.1836081436,37.330078125
42,209.78375,1611.1273285573047,258630.2755455818,32.6998046875
43,194.86573699598787,1291.9878858513591,244944.4707812623,27.294921875
44,217.31525,1141.896379089813,269764.1502606371,32.15693359375
45,217.5915,1472.0312857693748,256554.43397172168,37.84775390625
46,287.46175,1394.404547300254,345470.4385147959,30.45498046875
47,180.731,1199.4000197534829,223941.89351076807,33.79970703125
48,158.26622045341387,1258.7584688930747,185668.76350159012,28.46708984375
