# Algorithm: MO-PSO, Scenario: 1, Hosts: 10, VMs: 40, Containers: 200, Run: 1, Solutions: 453
solution_id,makespan,cost,energy,migration
0,171.76025,1065.7533371617733,202366.2982351994,41.11279296875
1,169.64275,1030.0519355498611,199831.29017333552,44.59990234375
2,157.3915,1096.0001496978862,183783.7512015781,45.4935546875
3,149.39266932071146,1162.2042647023811,175440.2310386316,1.715625
4,143.5545,1144.9667298964418,169033.50599594854,3.3525390625
5,153.92325,1132.9476906576615,181832.75922758062,3.21025390625
6,171.6355,1169.1633973455066,201152.58715493456,0.60546875
7,166.463,1131.9376267574903,196646.22855417067,13.8611328125
8,171.6355,1107.530887054749,202322.37935122589,1.43486328125
9,171.0995,1142.4641719905496,202123.42311807626,0.001953125
10,171.6355,1129.2880004091733,202363.0199597996,0.0474609375
11,171.0995,1140.4937499198793,201731.06107775916,0.01904296875
12,166.463,1167.7681075872533,196646.22855417067,0.76513671875
13,171.0995,1140.1262696929261,201731.06107775916,0.02255859375
14,171.0995,1141.2248015348791,201731.06107775916,0.01123046875
15,171.0995,1150.2958051077358,201731.06107775916,0.0
16,171.0995,1150.2958051077358,201731.06107775916,0.0
17,171.0995,1150.2958051077358,201731.06107775916,0.0
18,171.0995,1137.9692741090112,201731.06107775916,0.2611328125
19,171.0995,1150.2958051077358,201731.06107775916,0.0
20,171.0995,1150.2958051077358,201731.06107775916,0.0
21,171.0995,1150.2958051077358,201731.06107775916,0.0
22,171.0995,1150.2958051077358,201731.06107775916,0.0
23,171.0995,1150.2958051077358,201731.06107775916,0.0
24,171.0995,1150.2958051077358,201731.06107775916,0.0
25,171.0995,1150.2958051077358,201731.06107775916,0.0
26,171.0995,1150.2958051077358,201731.06107775916,0.0
27,171.0995,1150.2958051077358,201731.06107775916,0.0
28,171.0995,1150.2958051077358,201731.06107775916,0.0
29,171.0995,1150.2958051077358,201731.06107775916,0.0
30,171.0995,1150.2958051077358,201731.06107775916,0.0
31,171.0995,1150.2958051077358,201731.06107775916,0.0
32,171.0995,1150.2958051077358,201731.06107775916,0.0
33,171.0995,1150.2958051077358,201731.06107775916,0.0
34,171.0995,1150.2958051077358,201731.06107775916,0.0
35,166.6275,1166.1397468963034,196840.5558497088,0.9642578125
36,171.0995,1150.2958051077358,201731.06107775916,0.0
37,171.0995,1150.2958051077358,201731.06107775916,0.0
38,171.0995,1150.2958051077358,201731.06107775916,0.0
39,171.0995,1150.2958051077358,201731.06107775916,0.0
40,171.0995,1150.2958051077358,201731.06107775916,0.0
41,171.0995,1150.2958051077358,201731.06107775916,0.0
42,171.0995,1150.2958051077358,201731.06107775916,0.0
43,171.0995,1150.2958051077358,201731.06107775916,0.0
44,171.0995,1150.2958051077358,201731.06107775916,0.0
45,171.0995,1150.2958051077358,201731.06107775916,0.0
46,171.0995,1150.2958051077358,201731.06107775916,0.0
47,171.0995,1150.2958051077358,201731.06107775916,0.0
48,171.0995,1150.2958051077358,201731.06107775916,0.0
49,171.0995,1150.2958051077358,201731.06107775916,0.0
50,171.0995,1150.2958051077358,201731.06107775916,0.0
51,171.0995,1150.2958051077358,201731.06107775916,0.0
52,171.0995,1150.2958051077358,201731.06107775916,0.0
53,171.0995,1150.2958051077358,201731.06107775916,0.0
54,171.0995,1150.2958051077358,201731.06107775916,0.0
55,171.0995,1150.2958051077358,201731.06107775916,0.0
56,171.0995,1150.2958051077358,201731.06107775916,0.0
57,171.0995,1150.2958051077358,201731.06107775916,0.0
58,171.0995,1150.2958051077358,201731.06107775916,0.0
59,171.0995,1150.2958051077358,201731.06107775916,0.0
60,171.0995,1150.2958051077358,201731.06107775916,0.0
61,171.0995,1150.2958051077358,201731.06107775916,0.0
62,171.0995,1150.2958051077358,201731.06107775916,0.0
63,171.0995,1150.2958051077358,201731.06107775916,0.0
64,171.0995,1150.2958051077358,201731.06107775916,0.0
65,171.0995,1150.2958051077358,201731.06107775916,0.0
66,171.0995,1150.2958051077358,201731.06107775916,0.0
67,171.0995,1150.2958051077358,201731.06107775916,0.0
68,171.0995,1150.2958051077358,201731.06107775916,0.0
69,171.0995,1150.2958051077358,201731.06107775916,0.0
70,171.0995,1150.2958051077358,201731.06107775916,0.0
71,171.0995,1150.2958051077358,201731.06107775916,0.0
72,171.0995,1150.2958051077358,201731.06107775916,0.0
73,171.0995,1150.2958051077358,201731.06107775916,0.0
74,171.0995,1150.2958051077358,201731.06107775916,0.0
75,171.0995,1150.2958051077358,201731.06107775916,0.0
76,171.0995,1150.2958051077358,201731.06107775916,0.0
77,171.0995,1150.2958051077358,201731.06107775916,0.0
78,171.0995,1150.2958051077358,201731.06107775916,0.0
79,171.0995,1150.2958051077358,201731.06107775916,0.0
80,171.0995,1150.2958051077358,201731.06107775916,0.0
81,171.0995,1150.2958051077358,201731.06107775916,0.0
82,171.0995,1150.2958051077358,201731.06107775916,0.0
83,171.0995,1150.2958051077358,201731.06107775916,0.0
84,171.0995,1150.2958051077358,201731.06107775916,0.0
85,171.0995,1150.2958051077358,201731.06107775916,0.0
86,171.0995,1150.2958051077358,201731.06107775916,0.0
87,171.0995,1150.2958051077358,201731.06107775916,0.0
88,171.0995,1150.2958051077358,201731.06107775916,0.0
