# Algorithm: MO-PSO, Scenario: 1, Hosts: 10, VMs: 40, Containers: 600, Run: 1, Solutions: 62
solution_id,makespan,cost,energy,migration
0,464.62625,11207.658211188145,544528.2222287125,69.8416015625
1,429.388,11405.495614345495,497994.378948237,6.0734375
2,442.92575,11474.530356564532,513695.15168433235,2.62880859375
3,443.83,11780.96757372894,516232.79096793424,2.2060546875
4,388.41675,12009.92473996177,443266.33204221976,4.419921875
5,452.7145,11693.6482906212,525047.9199892909,1.91279296875
6,381.1235,12107.816651302248,438476.60099099594,1.03828125
7,419.24325,11329.387958391177,489223.50137781235,9.340625
8,470.64275,11864.270912460875,539496.0477757014,0.44912109375
9,388.41675,11995.155727825522,443266.33204221976,69.875390625
10,388.41675,12081.216829659597,443266.33204221976,0.1984375
11,384.9585,11798.06856707713,451388.09938004613,1.6908203125
12,396.94,12280.075011536535,456140.62835752807,0.01240234375
13,396.94,12296.017777850442,456140.62835752807,0.0
14,395.107,12026.281852697535,455574.80880596465,0.095703125
15,396.94,11859.274170418274,458632.8604052007,0.88056640625
16,388.41675,11958.539153218098,448502.50520417397,5.9740234375
17,396.94,12038.977271782518,457085.15469767904,0.0
18,396.94,12038.977271782518,457085.15469767904,0.0
19,395.107,12099.506378248523,455574.80880596465,0.014453125
20,396.94,12038.977271782518,457085.15469767904,0.0
21,396.94,12038.977271782518,457085.15469767904,0.0
22,398.16325,11950.745926797907,458493.7540212139,0.28037109375
23,398.16325,11983.357794260019,458493.7540212139,0.13193359375
24,388.41675,11962.610416186259,448502.50520417397,4.1873046875
25,396.94,12038.977271782518,457085.15469767904,0.0
26,396.94,12038.977271782518,457085.15469767904,0.0
27,384.9585,12064.15311730362,450472.083248855,1.3666015625
28,396.94,12038.977271782518,457085.15469767904,0.0
29,396.94,12038.977271782518,457085.15469767904,0.0
30,396.94,12038.977271782518,457085.15469767904,0.0
31,398.16325,11987.930846321891,458493.7540212139,0.0
32,396.94,12038.977271782518,457085.15469767904,0.0
33,396.94,12038.977271782518,457085.15469767904,0.0
34,396.94,12038.977271782518,457085.15469767904,0.0
35,396.94,12038.977271782518,457085.15469767904,0.0
36,396.94,12038.977271782518,457085.15469767904,0.0
37,396.94,12038.977271782518,457085.15469767904,0.0
38,396.94,12038.977271782518,457085.15469767904,0.0
39,396.94,12038.977271782518,457085.15469767904,0.0
40,384.9585,12041.475381509767,443873.1660935669,2.8791015625
41,396.94,12038.977271782518,457085.15469767904,0.0
42,396.94,12038.977271782518,457085.15469767904,0.0
43,396.94,12038.977271782518,457085.15469767904,0.0
44,398.16325,11961.200477678454,458493.7540212139,0.19501953125
45,396.94,12038.977271782518,457085.15469767904,0.0
46,396.94,12038.977271782518,457085.15469767904,0.0
47,396.94,12038.977271782518,457085.15469767904,0.0
48,396.94,12038.977271782518,457085.15469767904,0.0
49,396.94,12038.977271782518,457085.15469767904,0.0
50,398.16325,11985.75624525994,458493.7540212139,0.05634765625
51,396.94,12038.977271782518,457085.15469767904,0.0
52,396.94,12038.977271782518,457085.15469767904,0.0
53,396.94,12038.977271782518,457085.15469767904,0.0
54,396.94,12038.977271782518,457085.15469767904,0.0
55,396.94,12038.977271782518,457085.15469767904,0.0
56,396.94,12038.977271782518,457085.15469767904,0.0
57,396.94,12038.977271782518,457085.15469767904,0.0
58,396.94,12038.977271782518,457085.15469767904,0.0
59,396.94,12038.977271782518,457085.15469767904,0.0
60,396.94,12038.977271782518,457085.15469767904,0.0
61,396.94,12002.683813253454,457085.15469767904,0.00595703125
